Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
United States of America,9/9/2015,4,1
Liberia,9/9/2015,6,2
Mali,9/9/2015,8,6
Spain,9/9/2015,1,0
Nigeria,9/9/2015,20,8
Nigeria,9/10/2015,20,8
Guinea,9/10/2015,3791,2530
Liberia,9/10/2015,6,2
Sierra Leone,9/10/2015,13697,3953
Italy,9/10/2015,1,0
United States of America,9/10/2015,4,1
Liberia,9/10/2015,10666,4806
United Kingdom,9/10/2015,1,0
Spain,9/10/2015,1,0
Mali,9/10/2015,8,6
Senegal,9/10/2015,1,0
Sierra Leone,9/11/2015,13701,3953
Nigeria,9/11/2015,20,8
Mali,9/11/2015,8,6
Liberia,9/11/2015,10666,4806
Italy,9/11/2015,1,0
Guinea,9/11/2015,3791,2530
Liberia,9/11/2015,6,2
United States of America,9/11/2015,4,1
Spain,9/11/2015,1,0
Senegal,9/11/2015,1,0
United Kingdom,9/11/2015,1,0
Spain,9/14/2015,1,0
Liberia,9/14/2015,6,2
Senegal,9/14/2015,1,0
Italy,9/14/2015,1,0
Guinea,9/14/2015,3793,2530
Nigeria,9/14/2015,20,8
Sierra Leone,9/14/2015,13747,3953
United Kingdom,9/14/2015,1,0
United States of America,9/14/2015,4,1
Liberia,9/14/2015,10666,4806
Mali,9/14/2015,8,6
Senegal,9/15/2015,1,0
Italy,9/15/2015,1,0
United States of America,9/15/2015,4,1
Spain,9/15/2015,1,0
Sierra Leone,9/15/2015,13756,3953
United Kingdom,9/15/2015,1,0
Nigeria,9/15/2015,20,8
Liberia,9/15/2015,10666,4806
Guinea,9/15/2015,3792,2530
Mali,9/15/2015,8,6
Liberia,9/15/2015,6,2
Guinea,9/16/2015,3792,2530
Liberia,9/16/2015,10666,4806
Senegal,9/16/2015,1,0
United Kingdom,9/16/2015,1,0
Spain,9/16/2015,1,0
Italy,9/16/2015,1,0
Mali,9/16/2015,8,6
United States of America,9/16/2015,4,1
Liberia,9/16/2015,6,2
Sierra Leone,9/16/2015,13756,3953
Nigeria,9/16/2015,20,8
Sierra Leone,9/17/2015,13779,3955
Liberia,9/17/2015,6,2
Mali,9/17/2015,8,6
Spain,9/17/2015,1,0
Senegal,9/17/2015,1,0
Guinea,9/17/2015,3794,2530
Liberia,9/17/2015,10666,4806
United States of America,9/17/2015,4,1
Nigeria,9/17/2015,20,8
United Kingdom,9/17/2015,1,0
Italy,9/17/2015,1,0
Liberia,9/18/2015,6,2
Senegal,9/18/2015,1,0
Nigeria,9/18/2015,20,8
United Kingdom,9/18/2015,1,0
Liberia,9/18/2015,10666,4806
Spain,9/18/2015,1,0
Mali,9/18/2015,8,6
United States of America,9/18/2015,4,1
Guinea,9/18/2015,3794,2531
Sierra Leone,9/18/2015,13785,3955
Italy,9/18/2015,1,0
Liberia,9/21/2015,10666,4806
Nigeria,9/21/2015,20,8
Mali,9/21/2015,8,6
United Kingdom,9/21/2015,1,0
Guinea,9/21/2015,3797,2532
Senegal,9/21/2015,1,0
United States of America,9/21/2015,4,1
Liberia,9/21/2015,6,2
Italy,9/21/2015,1,0
Sierra Leone,9/21/2015,13811,3955
Spain,9/21/2015,1,0
Nigeria,9/22/2015,20,8
Italy,9/22/2015,1,0
United States of America,9/22/2015,4,1
Liberia,9/22/2015,6,2
Spain,9/22/2015,1,0
Sierra Leone,9/22/2015,13823,3955
Mali,9/22/2015,8,6
United Kingdom,9/22/2015,1,0
Guinea,9/22/2015,3800,2532
Liberia,9/22/2015,10666,4806
Senegal,9/22/2015,1,0
Nigeria,9/23/2015,20,8
Spain,9/23/2015,1,0
United Kingdom,9/23/2015,1,0
Sierra Leone,9/23/2015,13823,3955
Liberia,9/23/2015,6,2
Senegal,9/23/2015,1,0
United States of America,9/23/2015,4,1
Liberia,9/23/2015,10666,4806
Mali,9/23/2015,8,6
Italy,9/23/2015,1,0
Guinea,9/23/2015,3800,2532
United Kingdom,9/24/2015,1,0
Nigeria,9/24/2015,20,8
Guinea,9/24/2015,3801,2533
Sierra Leone,9/24/2015,13846,3955
Liberia,9/24/2015,6,2
Italy,9/24/2015,1,0
Liberia,9/24/2015,10666,4806
Senegal,9/24/2015,1,0
United States of America,9/24/2015,4,1
Spain,9/24/2015,1,0
Mali,9/24/2015,8,6
Guinea,9/25/2015,3797,2533
United States of America,9/25/2015,4,1
Senegal,9/25/2015,1,0
Sierra Leone,9/25/2015,13855,3955
Liberia,9/25/2015,10666,4806
United Kingdom,9/25/2015,1,0
Mali,9/25/2015,8,6
Italy,9/25/2015,1,0
Spain,9/25/2015,1,0
Liberia,9/25/2015,6,2
Nigeria,9/25/2015,20,8
Liberia,9/28/2015,10666,4806
Spain,9/28/2015,1,0
Sierra Leone,9/28/2015,13894,3955
Liberia,9/28/2015,6,2
United States of America,9/28/2015,4,1
Mali,9/28/2015,8,6
Senegal,9/28/2015,1,0
Italy,9/28/2015,1,0
Guinea,9/28/2015,3805,2533
Nigeria,9/28/2015,20,8
United Kingdom,9/28/2015,1,0
Sierra Leone,9/29/2015,13911,3955
Liberia,9/29/2015,6,2
Liberia,9/29/2015,10666,4806
United States of America,9/29/2015,4,1
Spain,9/29/2015,1,0
Nigeria,9/29/2015,20,8
Mali,9/29/2015,8,6
Senegal,9/29/2015,1,0
Italy,9/29/2015,1,0
Guinea,9/29/2015,3805,2533
United Kingdom,9/29/2015,1,0
United States of America,9/30/2015,4,1
Mali,9/30/2015,8,6
Sierra Leone,9/30/2015,13911,3955
Liberia,9/30/2015,10666,4806
Italy,9/30/2015,1,0
Nigeria,9/30/2015,20,8
Senegal,9/30/2015,1,0
Guinea,9/30/2015,3805,2533
Spain,9/30/2015,1,0
United Kingdom,9/30/2015,1,0
Liberia,9/30/2015,6,2
Liberia,10/1/2015,10666,4806
Italy,10/1/2015,1,0
United Kingdom,10/1/2015,1,0
Guinea,10/1/2015,3808,2533
Mali,10/1/2015,8,6
United States of America,10/1/2015,4,1
Spain,10/1/2015,1,0
Liberia,10/1/2015,6,2
Nigeria,10/1/2015,20,8
Sierra Leone,10/1/2015,13928,3955
Senegal,10/1/2015,1,0
Senegal,10/2/2015,1,0
United States of America,10/2/2015,4,1
Nigeria,10/2/2015,20,8
Mali,10/2/2015,8,6
Spain,10/2/2015,1,0
Guinea,10/2/2015,3809,2533
Italy,10/2/2015,1,0
Liberia,10/2/2015,10666,4806
Liberia,10/2/2015,6,2
United Kingdom,10/2/2015,1,0
Sierra Leone,10/2/2015,13931,3955
Guinea,10/5/2015,3804,2534
United States of America,10/5/2015,4,1
United Kingdom,10/5/2015,1,0
Italy,10/5/2015,1,0
Liberia,10/5/2015,10666,4806
Spain,10/5/2015,1,0
Senegal,10/5/2015,1,0
Sierra Leone,10/5/2015,13941,3955
Liberia,10/5/2015,6,2
Nigeria,10/5/2015,20,8
Mali,10/5/2015,8,6
United Kingdom,10/6/2015,1,0
Liberia,10/6/2015,6,2
Senegal,10/6/2015,1,0
Italy,10/6/2015,1,0
Mali,10/6/2015,8,6
Spain,10/6/2015,1,0
Sierra Leone,10/6/2015,13945,3955
United States of America,10/6/2015,4,1
Guinea,10/6/2015,3804,2534
Nigeria,10/6/2015,20,8
Liberia,10/6/2015,10666,4806
Guinea,10/7/2015,3804,2534
Mali,10/7/2015,8,6
Sierra Leone,10/7/2015,13945,3955
Nigeria,10/7/2015,20,8
Liberia,10/7/2015,6,2
Italy,10/7/2015,1,0
United States of America,10/7/2015,4,1
Liberia,10/7/2015,10666,4806
United Kingdom,10/7/2015,1,0
Spain,10/7/2015,1,0
Senegal,10/7/2015,1,0
Italy,10/8/2015,1,0
Liberia,10/8/2015,6,2
Guinea,10/8/2015,3799,2534
Liberia,10/8/2015,10666,4806
United Kingdom,10/8/2015,1,0
Senegal,10/8/2015,1,0
Nigeria,10/8/2015,20,8
Mali,10/8/2015,8,6
United States of America,10/8/2015,4,1
Sierra Leone,10/8/2015,13956,3955
Spain,10/8/2015,1,0
Spain,10/9/2015,1,0
Nigeria,10/9/2015,20,8
Sierra Leone,10/9/2015,13957,3955
United Kingdom,10/9/2015,1,0
Liberia,10/9/2015,6,2
Liberia,10/9/2015,10666,4806
Senegal,10/9/2015,1,0
United States of America,10/9/2015,4,1
Italy,10/9/2015,1,0
Guinea,10/9/2015,3800,2534
Mali,10/9/2015,8,6
United Kingdom,10/13/2015,1,0
Liberia,10/13/2015,10666,4806
Italy,10/13/2015,1,0
Sierra Leone,10/13/2015,13982,3955
Liberia,10/13/2015,6,2
Nigeria,10/13/2015,20,8
Spain,10/13/2015,1,0
Guinea,10/13/2015,3800,2534
Senegal,10/13/2015,1,0
United States of America,10/13/2015,4,1
Mali,10/13/2015,8,6
United Kingdom,10/15/2015,1,0
Liberia,10/15/2015,10666,4806
Senegal,10/15/2015,1,0
Guinea,10/15/2015,3802,2534
Mali,10/15/2015,8,6
Spain,10/15/2015,1,0
Nigeria,10/15/2015,20,8
Sierra Leone,10/15/2015,13992,3955
Italy,10/15/2015,1,0
Liberia,10/15/2015,6,2
United States of America,10/15/2015,4,1
United States of America,10/16/2015,4,1
Liberia,10/16/2015,10666,4806
Senegal,10/16/2015,1,0
Italy,10/16/2015,1,0
Liberia,10/16/2015,6,2
Mali,10/16/2015,8,6
Sierra Leone,10/16/2015,13992,3955
Guinea,10/16/2015,3804,2535
Nigeria,10/16/2015,20,8
Spain,10/16/2015,1,0
United Kingdom,10/16/2015,1,0
Italy,10/20/2015,1,0
Nigeria,10/20/2015,20,8
Senegal,10/20/2015,1,0
United States of America,10/20/2015,4,1
Guinea,10/20/2015,3803,2535
Sierra Leone,10/20/2015,14001,3955
United Kingdom,10/20/2015,1,0
Spain,10/20/2015,1,0
Liberia,10/20/2015,6,2
Liberia,10/20/2015,10666,4806
Mali,10/20/2015,8,6
Liberia,10/22/2015,6,2
Spain,10/22/2015,1,0
Italy,10/22/2015,1,0
Nigeria,10/22/2015,20,8
Liberia,10/22/2015,10666,4806
Sierra Leone,10/22/2015,14031,3955
United Kingdom,10/22/2015,1,0
Senegal,10/22/2015,1,0
Guinea,10/22/2015,3801,2535
Mali,10/22/2015,8,6
United States of America,10/22/2015,4,1
Mali,10/23/2015,8,6
Nigeria,10/23/2015,20,8
Senegal,10/23/2015,1,0
United Kingdom,10/23/2015,1,0
Guinea,10/23/2015,3801,2535
Spain,10/23/2015,1,0
Liberia,10/23/2015,10666,4806
United States of America,10/23/2015,4,1
Liberia,10/23/2015,6,2
Sierra Leone,10/23/2015,14038,3955
Italy,10/23/2015,1,0
Sierra Leone,10/26/2015,14052,3955
Guinea,10/26/2015,3804,2535
Italy,10/26/2015,1,0
United Kingdom,10/26/2015,1,0
United States of America,10/26/2015,4,1
Senegal,10/26/2015,1,0
Spain,10/26/2015,1,0
Liberia,10/26/2015,10666,4806
Nigeria,10/26/2015,20,8
Mali,10/26/2015,8,6
Liberia,10/26/2015,6,2
Liberia,10/27/2015,6,2
Mali,10/27/2015,8,6
Guinea,10/27/2015,3806,2535
United Kingdom,10/27/2015,1,0
Sierra Leone,10/27/2015,14061,3955
Spain,10/27/2015,1,0
Senegal,10/27/2015,1,0
Italy,10/27/2015,1,0
Nigeria,10/27/2015,20,8
United States of America,10/27/2015,4,1
Liberia,10/27/2015,10666,4806
Sierra Leone,10/29/2015,14066,3955
Nigeria,10/29/2015,20,8
Guinea,10/29/2015,3808,2536
Liberia,10/29/2015,6,2
Italy,10/29/2015,1,0
United Kingdom,10/29/2015,1,0
United States of America,10/29/2015,4,1
Mali,10/29/2015,8,6
Senegal,10/29/2015,1,0
Spain,10/29/2015,1,0
Liberia,10/29/2015,10666,4806
Senegal,10/30/2015,1,0
United Kingdom,10/30/2015,1,0
Nigeria,10/30/2015,20,8
Italy,10/30/2015,1,0
Spain,10/30/2015,1,0
Sierra Leone,10/30/2015,14067,3955
Liberia,10/30/2015,10666,4806
Liberia,10/30/2015,6,2
United States of America,10/30/2015,4,1
Mali,10/30/2015,8,6
Guinea,10/30/2015,3808,2536
Nigeria,11/3/2015,20,8
Sierra Leone,11/3/2015,14089,3955
Liberia,11/3/2015,6,2
United States of America,11/3/2015,4,1
Mali,11/3/2015,8,6
Guinea,11/3/2015,3810,2536
United Kingdom,11/3/2015,1,0
Liberia,11/3/2015,10666,4806
Spain,11/3/2015,1,0
Senegal,11/3/2015,1,0
Italy,11/3/2015,1,0
Nigeria,11/5/2015,20,8
United Kingdom,11/5/2015,1,0
Mali,11/5/2015,8,6
Senegal,11/5/2015,1,0
Liberia,11/5/2015,6,2
Sierra Leone,11/5/2015,14104,3955
Italy,11/5/2015,1,0
Spain,11/5/2015,1,0
Liberia,11/5/2015,10666,4806
United States of America,11/5/2015,4,1
Guinea,11/5/2015,3805,2536
Italy,11/6/2015,1,0
United Kingdom,11/6/2015,1,0
Liberia,11/6/2015,10666,4806
Sierra Leone,11/6/2015,14109,3955
United States of America,11/6/2015,4,1
Liberia,11/6/2015,6,2
Senegal,11/6/2015,1,0
Guinea,11/6/2015,3805,2536
Mali,11/6/2015,8,6
Spain,11/6/2015,1,0
Nigeria,11/6/2015,20,8
United States of America,11/10/2015,4,1
Nigeria,11/10/2015,20,8
Guinea,11/10/2015,3805,2536
Italy,11/10/2015,1,0
Spain,11/10/2015,1,0
Liberia,11/10/2015,10666,4806
Senegal,11/10/2015,1,0
United Kingdom,11/10/2015,1,0
Mali,11/10/2015,8,6
Sierra Leone,11/10/2015,14122,3955
Liberia,11/10/2015,6,2
Italy,11/11/2015,1,0
Guinea,11/11/2015,3805,2536
United Kingdom,11/11/2015,1,0
Liberia,11/11/2015,10666,4806
Sierra Leone,11/11/2015,14122,3955
Mali,11/11/2015,8,6
United States of America,11/11/2015,4,1
Spain,11/11/2015,1,0
Liberia,11/11/2015,6,2
Nigeria,11/11/2015,20,8
Senegal,11/11/2015,1,0
United States of America,11/12/2015,4,1
Liberia,11/12/2015,10666,4806
Senegal,11/12/2015,1,0
Sierra Leone,11/12/2015,14122,3955
Spain,11/12/2015,1,0
Mali,11/12/2015,8,6
Liberia,11/12/2015,6,2
Nigeria,11/12/2015,20,8
Italy,11/12/2015,1,0
United Kingdom,11/12/2015,1,0
Guinea,11/12/2015,3805,2536
Mali,11/16/2015,8,6
United States of America,11/16/2015,4,1
Liberia,11/16/2015,6,2
Sierra Leone,11/16/2015,14122,3955
Senegal,11/16/2015,1,0
Liberia,11/16/2015,10666,4806
Nigeria,11/16/2015,20,8
Guinea,11/16/2015,3805,2536
Spain,11/16/2015,1,0
Italy,11/16/2015,1,0
United Kingdom,11/16/2015,1,0
United Kingdom,11/17/2015,1,0
United States of America,11/17/2015,4,1
Italy,11/17/2015,1,0
Liberia,11/17/2015,6,2
Guinea,11/17/2015,3804,2536
Sierra Leone,11/17/2015,14122,3955
Senegal,11/17/2015,1,0
Liberia,11/17/2015,10666,4806
Nigeria,11/17/2015,20,8
Mali,11/17/2015,8,6
Spain,11/17/2015,1,0
Liberia,11/20/2015,10666,4806
Senegal,11/20/2015,1,0
Guinea,11/20/2015,3804,2536
Liberia,11/20/2015,6,2
Sierra Leone,11/20/2015,14122,3955
Spain,11/20/2015,1,0
United States of America,11/20/2015,4,1
Mali,11/20/2015,8,6
United Kingdom,11/20/2015,1,0
Nigeria,11/20/2015,20,8
Italy,11/20/2015,1,0
United States of America,11/24/2015,4,1
Mali,11/24/2015,8,6
Liberia,11/24/2015,6,2
Nigeria,11/24/2015,20,8
Senegal,11/24/2015,1,0
Sierra Leone,11/24/2015,14122,3955
United Kingdom,11/24/2015,1,0
Guinea,11/24/2015,3804,2536
Italy,11/24/2015,1,0
Spain,11/24/2015,1,0
Liberia,11/24/2015,10666,4806
United States of America,11/26/2015,4,1
Italy,11/26/2015,1,0
Guinea,11/26/2015,3804,2536
United Kingdom,11/26/2015,1,0
Liberia,11/26/2015,9,2
Spain,11/26/2015,1,0
Liberia,11/26/2015,10666,4806
Senegal,11/26/2015,1,0
Nigeria,11/26/2015,20,8
Mali,11/26/2015,8,6
Sierra Leone,11/26/2015,14122,3955
Nigeria,12/1/2015,20,8
Italy,12/1/2015,1,0
Guinea,12/1/2015,3804,2536
Liberia,12/1/2015,9,2
Spain,12/1/2015,1,0
United States of America,12/1/2015,4,1
Liberia,12/1/2015,10666,4806
Sierra Leone,12/1/2015,14122,3955
Senegal,12/1/2015,1,0
Mali,12/1/2015,8,6
United Kingdom,12/1/2015,1,0
Guinea,12/2/2015,3804,2536
United Kingdom,12/2/2015,1,0
United States of America,12/2/2015,4,1
Liberia,12/2/2015,10666,4806
Spain,12/2/2015,1,0
Liberia,12/2/2015,9,3
Sierra Leone,12/2/2015,14122,3955
Senegal,12/2/2015,1,0
Mali,12/2/2015,8,6
Nigeria,12/2/2015,20,8
Italy,12/2/2015,1,0
Guinea,12/3/2015,3805,2536
Liberia,12/3/2015,10666,4806
Italy,12/3/2015,1,0
Liberia,12/3/2015,9,3
Mali,12/3/2015,8,6
United States of America,12/3/2015,4,1
United Kingdom,12/3/2015,1,0
Spain,12/3/2015,1,0
Nigeria,12/3/2015,20,8
Sierra Leone,12/3/2015,14122,3955
Senegal,12/3/2015,1,0
Guinea,12/9/2015,3804,2536
United Kingdom,12/9/2015,1,0
Spain,12/9/2015,1,0
Italy,12/9/2015,1,0
Liberia,12/9/2015,10666,4806
Senegal,12/9/2015,1,0
United States of America,12/9/2015,4,1
Liberia,12/9/2015,9,3
Mali,12/9/2015,8,6
Sierra Leone,12/9/2015,14122,3955
Nigeria,12/9/2015,20,8
Italy,12/10/2015,1,0
Spain,12/10/2015,1,0
Nigeria,12/10/2015,20,8
Liberia,12/10/2015,9,3
Guinea,12/10/2015,3804,2536
United Kingdom,12/10/2015,1,0
United States of America,12/10/2015,4,1
Mali,12/10/2015,8,6
Liberia,12/10/2015,10666,4806
Senegal,12/10/2015,1,0
Sierra Leone,12/10/2015,14122,3955
Spain,12/11/2015,1,0
United States of America,12/11/2015,4,1
Nigeria,12/11/2015,20,8
Senegal,12/11/2015,1,0
Guinea,12/11/2015,3804,2536
Mali,12/11/2015,8,6
United Kingdom,12/11/2015,1,0
Liberia,12/11/2015,9,3
Italy,12/11/2015,1,0
Sierra Leone,12/11/2015,14122,3955
Liberia,12/11/2015,10666,4806
Sierra Leone,12/15/2015,14122,3955
United States of America,12/15/2015,4,1
Mali,12/15/2015,8,6
Spain,12/15/2015,1,0
Italy,12/15/2015,1,0
Guinea,12/15/2015,3807,2536
Senegal,12/15/2015,1,0
Nigeria,12/15/2015,20,8
Liberia,12/15/2015,9,3
United Kingdom,12/15/2015,1,0
Liberia,12/15/2015,10666,4806
Spain,12/16/2015,1,0
Mali,12/16/2015,8,6
Guinea,12/16/2015,3807,2536
United Kingdom,12/16/2015,1,0
Italy,12/16/2015,1,0
United States of America,12/16/2015,4,1
Nigeria,12/16/2015,20,8
Senegal,12/16/2015,1,0
Liberia,12/16/2015,10666,4806
Sierra Leone,12/16/2015,14122,3955
Liberia,12/16/2015,9,3
Liberia,12/17/2015,9,3
Nigeria,12/17/2015,20,8
Spain,12/17/2015,1,0
Liberia,12/17/2015,10666,4806
Mali,12/17/2015,8,6
United Kingdom,12/17/2015,1,0
Sierra Leone,12/17/2015,14122,3955
Guinea,12/17/2015,3805,2536
Italy,12/17/2015,1,0
Senegal,12/17/2015,1,0
United States of America,12/17/2015,4,1
Nigeria,12/22/2015,20,8
Guinea,12/22/2015,3804,2536
Senegal,12/22/2015,1,0
Liberia,12/22/2015,9,3
Spain,12/22/2015,1,0
Mali,12/22/2015,8,6
Sierra Leone,12/22/2015,14122,3955
United Kingdom,12/22/2015,1,0
Italy,12/22/2015,1,0
United States of America,12/22/2015,4,1
Liberia,12/22/2015,10666,4806
United Kingdom,12/23/2015,1,0
Italy,12/23/2015,1,0
Guinea,12/23/2015,3804,2536
Senegal,12/23/2015,1,0
Liberia,12/23/2015,10666,4806
Spain,12/23/2015,1,0
Mali,12/23/2015,8,6
Sierra Leone,12/23/2015,14122,3955
Liberia,12/23/2015,9,3
Nigeria,12/23/2015,20,8
United States of America,12/23/2015,4,1
United Kingdom,12/29/2015,1,0
Italy,12/29/2015,1,0
Spain,12/29/2015,1,0
Liberia,12/29/2015,10666,4806
Liberia,12/29/2015,9,3
Sierra Leone,12/29/2015,14122,3955
Mali,12/29/2015,8,6
Guinea,12/29/2015,3804,2536
United States of America,12/29/2015,4,1
Nigeria,12/29/2015,20,8
Senegal,12/29/2015,1,0
Guinea,3/23/2016,3804,2536
Spain,3/23/2016,1,0
Sierra Leone,3/23/2016,14122,3955
Senegal,3/23/2016,1,0
Mali,3/23/2016,8,6
United Kingdom,3/23/2016,1,0
Liberia,3/23/2016,9,3
Liberia,3/23/2016,10666,4806
Italy,3/23/2016,1,0
Liberia,3/23/2016,5,4
Nigeria,3/23/2016,20,8
United States of America,3/23/2016,4,1
